bowler,extras,fours_count,sixes_count,dot_balls_count,wickets_taken,match_count
A Ashish Reddy,5,26,20,84,18,20
A Badoni,0,0,0,5,2,3
A Chandila,0,17,10,105,11,12
A Choudhary,6,13,6,42,5,5
A Dananjaya,1,2,4,6,0,1
A Flintoff,0,7,7,21,2,3
A Kumble,9,72,35,401,45,42
A Mishra,48,238,182,1219,173,161
A Mithun,15,42,21,95,7,16
A Nehra,54,279,76,831,106,88
A Nel,0,3,2,7,1,1
A Nortje,26,126,51,391,53,40
A Singh,11,67,17,201,28,23
A Symonds,10,44,33,208,20,30
A Uniyal,2,6,3,9,2,2
A Zampa,4,30,28,135,29,20
AA Chavan,6,28,16,111,8,13
AA Jhunjhunwala,3,10,5,28,1,10
AA Kazi,1,1,1,2,0,1
AA Noffke,0,2,2,8,1,1
AB Agarkar,35,113,41,274,29,42
AB Dinda,55,232,58,652,69,75
AB McDonald,2,20,11,52,11,10
AC Gilchrist,0,0,0,1,1,5
AC Thomas,10,41,11,133,14,1
AC Voges,2,8,2,15,0,22
AD Mascarenhas,1,34,8,131,19,1
AD Mathews,12,98,29,240,27,15
AD Russell,48,233,97,552,96,7
AF Milne,8,35,13,78,8,13
AG Murtaza,4,22,14,107,9,44
AJ Finch,1,4,4,13,1,98
AJ Hosein,0,4,2,6,1,10
AJ Tye,27,90,33,224,42,12
AK Markram,1,12,7,29,2,5
AL Menaria,2,15,4,41,3,1
AM Nayar,9,22,13,71,9,30
AM Rahane,0,0,0,2,1,12
AM Salvi,5,18,7,62,7,7
AN Ahmed,9,43,20,135,12,8
AP Dole,6,11,4,21,5,7
AR Patel,42,216,139,991,112,12
AS Joseph,12,46,35,155,20,19
AS Rajpoot,27,89,31,214,24,1
AS Raut,0,4,1,7,0,7
AS Roy,6,5,8,35,5,1
AU Rashid,0,4,7,20,2,17
AUK Pathan,1,5,2,10,0,8
Abdul Samad,0,6,8,12,2,21
Abdur Razzak,0,3,1,6,0,6
Abhishek Sharma,6,19,18,65,9,22
Akash Deep,5,19,18,51,6,3
Akash Madhwal,2,16,9,53,14,134
Akash Singh,3,24,12,53,5,4
Aman Hakim Khan,0,1,1,1,0,6
Anand Rajan,12,17,8,62,8,51
Ankit Sharma,6,28,18,141,12,19
Ankit Soni,3,8,7,38,2,29
Anureet Singh,10,65,22,153,18,5
Arjun Tendulkar,8,9,3,26,3,6
Arshad Khan (2),10,22,10,29,5,3
Arshdeep Singh,58,162,44,390,57,3
Avesh Khan,32,154,56,416,55,47
Azhar Mahmood,9,73,18,207,29,23
B Akhil,3,18,9,66,6,13
B Chipli,0,1,2,1,0,1
B Geeves,1,17,1,15,1,2
B Kumar,111,450,123,1606,170,160
B Laughlin,10,26,10,44,10,9
B Lee,25,123,25,403,25,38
B Stanlake,6,19,9,64,7,6
BA Bhatt,5,35,13,99,12,15
BA Stokes,28,99,33,252,28,38
BAW Mendis,2,17,12,80,8,25
BB Sran,29,73,29,177,19,10
BCJ Cutting,7,44,15,78,10,24
BE Hendricks,5,24,7,56,9,17
BJ Hodge,2,17,14,81,17,7
BJ Rohrer,1,2,0,1,0,28
BMAJ Mendis,0,2,2,11,1,20
BW Hilfenhaus,15,48,21,184,22,1
Basil Thampi,17,75,41,163,22,2
Bipul Sharma,8,28,31,141,17,17
C Ganapathy,0,1,1,1,0,19
C Green,7,30,20,91,7,1
C Munro,0,1,1,5,0,16
C Nanda,2,1,2,14,2,2
C Sakariya,27,49,21,153,20,3
C de Grandhomme,11,22,13,63,6,19
CH Gayle,20,49,27,203,18,38
CH Morris,62,222,79,716,96,81
CJ Anderson,15,52,23,89,11,22
CJ Dala,1,3,2,7,0,1
CJ Green,0,4,0,6,0,1
CJ Jordan,36,96,46,227,30,34
CJ McKay,0,8,1,14,1,2
CK Kapugedera,0,5,3,0,0,3
CK Langeveldt,8,17,8,75,13,7
CL White,3,5,6,9,1,6
CR Brathwaite,9,37,12,79,13,16
CR Woakes,22,68,28,173,30,21
CRD Fernando,11,30,9,108,17,10
CV Varun,19,110,68,482,62,56
D Brevis,0,2,0,1,1,1
D Kalyankrishna,2,8,4,11,2,2
D Pretorius,16,14,11,46,6,3
D Salunkhe,2,6,3,16,1,7
D Wiese,9,47,11,87,16,5
D du Preez,0,6,1,18,4,15
DA Warner,1,0,0,0,0,1
DAJ Bracewell,1,2,2,10,3,1
DB Ravi Teja,0,1,2,4,1,2
DE Bollinger,19,73,19,273,38,27
DG Nalkande,2,9,5,17,3,3
DJ Bravo,162,349,155,1059,183,158
DJ Harris,0,2,1,4,0,2
DJ Hooda,8,37,22,103,10,31
DJ Hussey,5,30,25,93,8,26
DJ Mitchell,1,3,1,1,0,2
DJ Muthuswami,0,14,3,47,4,6
DJ Thornely,2,5,0,19,3,4
DJ Willey,5,28,8,84,6,11
DJG Sammy,5,33,12,76,11,19
DJM Short,0,1,1,8,1,2
DL Chahar,67,236,54,666,72,73
DL Vettori,8,67,24,283,28,34
DNT Zoysa,1,12,3,25,2,3
DP Nannes,35,89,15,310,28,29
DP Vijaykumar,5,23,5,69,4,9
DR Sams,25,41,25,146,14,16
DR Smith,12,75,33,181,26,46
