batsman,match_id,batting_team,bowling_team,runs_scored,year
AA Noffke,335982,Royal Challengers Bangalore,Kolkata Knight Riders,9,2008
BB McCullum,335982,Kolkata Knight Riders,Royal Challengers Bangalore,158,2008
CL White,335982,Royal Challengers Bangalore,Kolkata Knight Riders,6,2008
DJ Hussey,335982,Kolkata Knight Riders,Royal Challengers Bangalore,12,2008
JH Kallis,335982,Royal Challengers Bangalore,Kolkata Knight Riders,8,2008
MV Boucher,335982,Royal Challengers Bangalore,Kolkata Knight Riders,7,2008
Mohammad Hafeez,335982,Kolkata Knight Riders,Royal Challengers Bangalore,5,2008
P Kumar,335982,Royal Challengers Bangalore,Kolkata Knight Riders,18,2008
R Dravid,335982,Royal Challengers Bangalore,Kolkata Knight Riders,2,2008
RT Ponting,335982,Kolkata Knight Riders,Royal Challengers Bangalore,20,2008
SB Joshi,335982,Royal Challengers Bangalore,Kolkata Knight Riders,3,2008
SC Ganguly,335982,Kolkata Knight Riders,Royal Challengers Bangalore,10,2008
V Kohli,335982,Royal Challengers Bangalore,Kolkata Knight Riders,1,2008
W Jaffer,335982,Royal Challengers Bangalore,Kolkata Knight Riders,6,2008
Z Khan,335982,Royal Challengers Bangalore,Kolkata Knight Riders,3,2008
IK Pathan,335983,Kings XI Punjab,Chennai Super Kings,3,2008
JDP Oram,335983,Chennai Super Kings,Kings XI Punjab,13,2008
JR Hopes,335983,Kings XI Punjab,Chennai Super Kings,71,2008
K Goel,335983,Kings XI Punjab,Chennai Super Kings,24,2008
KC Sangakkara,335983,Kings XI Punjab,Chennai Super Kings,54,2008
MEK Hussey,335983,Chennai Super Kings,Kings XI Punjab,116,2008
ML Hayden,335983,Chennai Super Kings,Kings XI Punjab,25,2008
MS Dhoni,335983,Chennai Super Kings,Kings XI Punjab,2,2008
PA Patel,335983,Chennai Super Kings,Kings XI Punjab,15,2008
S Badrinath,335983,Chennai Super Kings,Kings XI Punjab,31,2008
SK Raina,335983,Chennai Super Kings,Kings XI Punjab,32,2008
SM Katich,335983,Kings XI Punjab,Chennai Super Kings,21,2008
Yuvraj Singh,335983,Kings XI Punjab,Chennai Super Kings,23,2008
D Salunkhe,335984,Rajasthan Royals,Delhi Daredevils,26,2008
DS Lehmann,335984,Rajasthan Royals,Delhi Daredevils,1,2008
G Gambhir,335984,Delhi Daredevils,Rajasthan Royals,58,2008
