,striker,strike_rate,runs_50_to_99,runs_100_plus,boundary_percentage,normal_runs,total_runs,balls_faced,player_dismissed,dismissal_count,batting_avg
0,A Ashish Reddy,142.86,0,0,15.82,104.0,280,196,A Ashish Reddy,15.0,18.67
1,A Badoni,122.77,2,0,13.23,155.0,399,325,A Badoni,18.0,22.17
2,A Chandila,57.14,0,0,0.0,4.0,4,7,,0.0,4.0
3,A Chopra,70.67,0,0,9.33,23.0,53,75,A Chopra,6.0,8.83
4,A Choudhary,125.0,0,0,10.0,14.0,25,20,A Choudhary,1.0,25.0
5,A Dananjaya,80.0,0,0,0.0,3.0,4,5,,0.0,4.0
6,A Flintoff,108.77,0,0,12.28,26.0,62,57,A Flintoff,2.0,31.0
7,A Kumble,71.43,0,0,6.12,22.0,35,49,A Kumble,3.0,11.67
8,A Manohar,134.55,0,0,18.18,77.0,222,165,A Manohar,12.0,18.5
9,A Mishra,86.59,0,0,8.18,205.0,381,440,A Mishra,32.0,11.91
10,A Mithun,130.77,0,0,19.23,10.0,34,26,A Mithun,5.0,6.8
11,A Mukund,82.61,0,0,4.35,13.0,19,23,A Mukund,2.0,9.5
12,A Nehra,65.08,0,0,6.35,22.0,41,63,A Nehra,7.0,5.86
13,A Nortje,107.14,0,0,14.29,17.0,45,42,A Nortje,4.0,11.25
14,A Singh,20.0,0,0,0.0,2.0,2,10,A Singh,4.0,0.5
15,A Symonds,124.71,5,1,14.72,358.0,974,781,A Symonds,27.0,36.07
16,A Tomar,50.0,0,0,12.5,0.0,4,8,A Tomar,1.0,4.0
17,A Uniyal,57.14,0,0,0.0,4.0,4,7,A Uniyal,1.0,4.0
18,A Zampa,60.0,0,0,4.0,11.0,15,25,A Zampa,5.0,3.0
19,AA Bilakhia,78.41,0,0,5.68,40.0,69,88,AA Bilakhia,5.0,13.8
20,AA Chavan,109.09,0,0,18.18,4.0,12,11,AA Chavan,2.0,6.0
21,AA Jhunjhunwala,99.54,1,0,11.01,96.0,217,218,AA Jhunjhunwala,13.0,16.69
