striker,strike_rate,half_centuries,centuries,boundary_percentage,normal_runs
A Ashish Reddy,142.86,0,0,15.82,104.0
A Badoni,122.77,2,0,13.23,155.0
A Chandila,57.14,0,0,0.0,4.0
A Chopra,70.67,0,0,9.33,23.0
A Choudhary,125.0,0,0,10.0,14.0
A Dananjaya,80.0,0,0,0.0,3.0
A Flintoff,108.77,0,0,12.28,26.0
A Kumble,71.43,0,0,6.12,22.0
A Manohar,134.55,0,0,18.18,77.0
A Mishra,86.59,0,0,8.18,205.0
A Mithun,130.77,0,0,19.23,10.0
A Mukund,82.61,0,0,4.35,13.0
A Nehra,65.08,0,0,6.35,22.0
A Nortje,107.14,0,0,14.29,17.0
A Singh,20.0,0,0,0.0,2.0
A Symonds,124.71,5,1,14.72,358.0
A Tomar,50.0,0,0,12.5,0.0
A Uniyal,57.14,0,0,0.0,4.0
A Zampa,60.0,0,0,4.0,11.0
AA Bilakhia,78.41,0,0,5.68,40.0
AA Chavan,109.09,0,0,18.18,4.0
AA Jhunjhunwala,99.54,1,0,11.01,96.0
AA Noffke,75.0,0,0,8.33,5.0
AB Agarkar,111.87,0,0,11.25,82.0
AB Barath,97.67,0,0,13.95,15.0
AB Dinda,52.0,0,0,4.0,17.0
AB McDonald,119.42,0,0,12.62,52.0
AB de Villiers,148.58,41,3,19.13,1705.0
AC Blizzard,131.87,1,0,25.27,20.0
AC Gilchrist,133.05,11,2,21.29,487.0
AC Thomas,105.26,0,0,10.53,9.0
AC Voges,126.57,0,0,12.59,81.0
AD Hales,124.37,0,0,15.97,52.0
AD Mascarenhas,100.0,0,0,7.59,44.0
AD Mathews,120.87,1,0,12.19,319.0
AD Nath,90.91,0,0,9.09,45.0
AD Russell,164.92,10,0,25.04,448.0
AF Milne,74.19,0,0,3.23,15.0
AG Murtaza,71.43,0,0,7.14,6.0
AG Paunikar,80.33,0,0,14.75,11.0
AJ Finch,123.35,15,0,17.22,655.0
AJ Hosein,145.45,0,0,18.18,5.0
AJ Turner,27.27,0,0,0.0,3.0
AJ Tye,115.19,0,0,13.92,29.0
AK Markram,129.17,4,0,14.33,332.0
AL Menaria,109.26,0,0,11.44,173.0
AM Nayar,114.29,0,0,12.76,279.0
AM Rahane,120.28,30,2,15.06,1724.0
AN Ahmed,133.33,0,0,18.52,11.0
AN Ghosh,87.5,0,0,12.5,2.0
AP Dole,147.83,0,0,17.39,12.0
AP Majumdar,112.99,0,0,11.69,40.0
AP Tare,118.95,1,0,17.89,92.0
AR Bawne,100.0,0,0,8.33,7.0
AR Patel,124.93,1,0,13.83,574.0
AS Joseph,84.38,0,0,9.38,13.0
AS Rajpoot,63.41,0,0,7.32,11.0
AS Raut,112.79,0,0,11.63,85.0
AS Roy,109.52,0,0,14.29,9.0
AS Yadav,122.5,0,0,17.5,15.0
AT Carey,110.34,0,0,3.45,20.0
AT Rayudu,124.58,22,1,15.24,1684.0
AU Rashid,129.41,0,0,17.65,6.0
AUK Pathan,150.0,0,0,26.92,5.0
Abdul Basith,100.0,0,0,0.0,1.0
Abdul Samad,134.58,0,0,15.93,136.0
